surge_mean,sway_mean,VVEL,VDIR,HS1,TP1,DIR1,CVEL0,CDIR0
711.4258711146244,22.64723941238472,9.60,197.0,1.72,6.30,212.0,0.58,182.0
139.93676951778656,-19.25872351646904,0.10,205.0,1.73,6.60,209.0,0.58,191.0
682.3849596113307,22.786832945981555,8.20,251.0,2.25,12.00,6.0,0.46,179.0
655.5271821330698,21.362769179183136,7.30,246.0,2.13,11.80,1.0,0.53,183.0
139.19078531093544,-17.58455497891963,0.01,219.0,2.02,5.10,247.0,0.56,191.0
708.4484318089592,23.390137175230564,9.60,219.0,2.00,6.20,265.0,0.52,182.0
403.3880663557312,39.86099060474308,4.40,236.0,2.62,12.50,310.0,0.25,243.0
230.7700230750988,9.593620042160737,2.80,257.0,2.53,11.90,321.0,0.28,218.0
553.7006143201581,30.39660783662714,5.10,269.0,2.05,11.50,325.0,0.20,198.0
683.9062556376812,23.85891612121212,7.90,214.0,1.77,5.50,208.0,0.40,172.0
718.3104836982873,25.04467811857707,9.70,204.0,1.82,5.10,200.0,0.30,156.0
683.3215909894599,25.76201142424242,8.60,222.0,1.40,5.00,207.0,0.43,211.0
690.8608982740449,25.403557534914363,8.70,217.0,1.35,4.70,190.0,0.39,201.0
630.311068453228,25.68624753491436,6.90,215.0,1.29,6.00,211.0,0.48,210.0
636.4788575810276,28.306364888010542,6.80,226.0,1.19,5.70,222.0,0.29,221.0
464.70525859683795,35.28700553754941,5.30,226.0,0.93,7.10,254.0,0.50,230.0
